Unnamed: 0;Unit price
Product;
;
;
Dish Washer 25L;300.0
Dish Washer 5L;60.0
Dish Washer 2L;30.0
Dish Washer 1L;15.0
;
;
Pine Gell 25L;650.0
Pine Gell 5L;120.0
Pine Gell 2L;60.0
Pine Gell 1L;35.0
;
Hand Soap 25L;300.0
Hand Soap 5L;65.0
Hand Soap 2L;32.0
Hand Soap 1L;16.0
Hand Soap 500ML;10.0
;
Hand Sanitiser 5L;250.0
Hand Sanitiser 2L;120.0
Hand Sanitiser 1L;55.0
Hand Sanitiser 500M Liq;45.0
Hand Sanitiser 500M Gel;48.0
Hand Sanitiser 200ML;15.0
;
Foam Bath 5L;65.0
Foam Bath 2L;40.0
Foam Bath 1L;30.0
Foam Bath 500ML;20.0
Foam Bath 200ML;10.0
;
;
All purpose cleaner;65.0
;
Tile Cleaner;65.0
;
Handy Clean 5L;50.0
Handy Clean 2L;20.0
Handy Clean 1L;10.0
;
;
;
Household Bleach;50.0
;
Thick Bleach 25L;300.0
Thick Bleach 5L;65.0
Thick Bleach 2L;26.0
Thick Bleach 2L;14.0
;
Fabric Softner 5L;65.0
Fabric Softner 2L;36.0
;
Window Cleaner;80.0
;
Engine Cleaner 5L;65.0
Engine Cleaner 2L;26.0
Engine Cleaner 1L;14.0
;
Capert Shampoo;75.0
;
Liquid Floor Polish;185.0
;
Trye Shine;265.0
;
Car Shampoo 5L;65.0
Car Shampoo 2L;26.0
;
Thermometer;1000.0
;
;
Floor Stripper 5L;60.0
;
Black Dip;160.0
;
Drain Cleaner;65.0
;
Degreaser;65.0
;
Toilet Bowl Cleaner (Heavy);85.0
;
Toilet Bowl Cleaner (Domestic);65.0
;
Mechanic Soap;265.0
;
High Foam Washing Powder;165.0
;
Wax Floor Polish;120.0
;
Car Wash & Wax;160.0
;
Dash Shine;140.0
